"","name","country","subNational","radFig","radUnit","latitude","longitude"
"1","Melbourne","Australia","Victoria",300,"uSv","-37.8126859637186","144.94741278346422"
"2","Sydney","Australia","New South Wales",300,"uSv","-33.86875308441044","151.196779661934"
"3","Brisbane","Australia","Queensland",100,"uSv","-27.470315552987095","153.02523622248282"
"4","Perth","Australia","Western Australia",700,"uSv","-31.94947658929517","115.85537793948946"
"5","Adelaide","Australia","South Australia",300,"uSv","-34.9248920822411","138.58674630929136"
"6","Gold Coast","Australia","Queensland",100,"uSv","-27.976730926424725","153.38173673793833"
"7","Newcastle","Australia","New South Wales",300,"uSv","-32.928374474622665","151.7792745862424"
"8","Canberra","Australia","Australian Capital Territory",500,"uSv","-35.27933546559012","149.12851918045294"
"9","Sunshine Coast","Australia","Queensland",300,"uSv","-26.65263890200006","153.0899241337278"
"10","Central Coast","Australia","New South Wales",300,"uSv","-33.352739857461884","151.44472514467782"
"11","Wollongong","Australia","New South Wales",300,"uSv","-34.42476794760363","150.8928715077175"
"12","Geelong","Australia","Victoria",300,"uSv","-38.14911300074637","144.35929875796185"
"13","Hobart","Australia","Tasmania",300,"uSv","-42.88194406728654","147.3240625233281"
"14","Townsville","Australia","Queensland",500,"uSv","-19.25843442650769","146.813135923161"
"15","Cairns","Australia","Queensland",500,"uSv","-16.91988766906044","145.7700982352128"
"16","London","United Kingdom","England",275,"uSv","51.50731412091257","-0.11235316134671652"
"17","Birmingham","United Kingdom","England",331,"uSv","52.48016674495989","-1.8897649884750856"
"18","Leeds","United Kingdom","England",239,"uSv","53.801495641613016","-1.5508782116140376"
"19","Liverpool","United Kingdom","England",239,"uSv","53.41081390484086","-2.988039278843096"
"20","Sheffield","United Kingdom","England",331,"uSv","53.38215869068668","-1.4665372724412136"
"21","Manchester","United Kingdom","England",275,"uSv","53.48294180988169","-2.2390613272261253"
"22","Bristol","United Kingdom","England",331,"uSv","51.45775985403979","-2.589386137301769"
"23","Leicester","United Kingdom","England",331,"uSv","52.63679619743643","-1.1400370549181453"
"24","Coventry","United Kingdom","England",331,"uSv","52.41190166788621","-1.5073754136841673"
"25","Bradford","United Kingdom","England",214,"uSv","53.794450223006145","-1.7543705498051556"
"26","Cardiff","United Kingdom","Wales",331,"uSv","51.483803382705894","-3.167572790333464"
"27","Glasgow","United Kingdom","Scotland",275,"uSv","55.862589384549636","-4.258551037056326"
"28","Edinburgh","United Kingdom","Scotland",239,"uSv","55.95153451428874","-3.190270180183251"
"29","Belfast","United Kingdom","Northern Ireland",275,"uSv","54.598511103017664","-5.931091286626441"
"30","Dublin","Ireland","Leinster",331,"uSv","53.349286234258834","-6.267716928528953"
"31","Lisbon","Portugal","Greater Lisbon",423,"uSv","38.7241456914595","-9.13983629392298"
"32","Porto","Portugal","Porto Metropolitan Area",748,"uSv","41.15982953648448","-8.630039468503574"
"33","Madrid","Spain","Madrid",576,"uSv","40.418669451166195","-3.704307280386674"
"34","Barcelona","Spain","Barcelona",502,"uSv","41.38791415290938","2.1731353478670936"
"35","Valencia","Spain","Valencia",275,"uSv","39.474484457437484","-0.3752573049775651"
"36","Zaragoza","Spain","Zaragoza",239,"uSv","41.646787567380066","-0.8884609508082372"
"37","Seville","Spain","Seville",502,"uSv","37.38835115619171","-5.9845974535622"
"38","Málaga","Spain","Málaga",239,"uSv","36.719759624138995","-4.4328009673003"
"39","Murcia","Spain","Murcia",214,"uSv","37.989784577537954","-1.1319173913657372"
"40","Palma","Spain","Balearic Islands",331,"uSv","39.575210470621556","2.650124863157735"
"41","Las Palmas de Gran Canaria","Spain","Las Palmas",423,"uSv","28.127053848564465","-15.436758863573303"
"42","Alicante","Spain","Alicante",214,"uSv","38.34581831354031","-0.4916307475418568"
"43","Bilbao","Spain","Biscay",275,"uSv","43.26438450905712","-2.936073081407511"
"44","Córdoba","Spain","Córdoba",576,"uSv","37.89016096507513","-4.780712095615204"
"45","Paris","France","Île-de-France",275,"uSv","48.85928864981897","2.3428699045702155"
"46","Marseille","France","Provence-Alpes-Côte d'Azur",275,"uSv","43.304855031399846","5.379215132890786"
"47","Lyon","France","Auvergne-Rhône-Alpes",239,"uSv","45.7640597739172","4.835798608073184"
"48","Toulouse","France","Occitanie",423,"uSv","43.60605443633076","1.441756625925273"
"49","Nice","France","Provence-Alpes-Côte d'Azur",275,"uSv","43.712507669942646","7.260352754912672"
